2025-01-03 00:00:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:00:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:00:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:00:33 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:00:43 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:00:53 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:33 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:43 |INFO  |main |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2025-01-03 00:01:43 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:01:53 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:33 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:43 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:02:53 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:33 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:43 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:03:53 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:04:03 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:04:13 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2025-01-03 00:04:23 |WARN  |main |ElasticsearchClientConfig.java:66 |ljl.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
